Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,009c,1,0,1,0,0,00000094
1,1,0,00a0,1,0,1,0,0,00000098
2,2,0,00a4,1,0,1,0,0,0000009c
3,3,0,00a8,1,0,1,0,0,000000a0
4,4,0,00ac,1,0,1,0,0,000000a4
5,5,0,00ac,1,0,1,0,0,000000a4
6,6,0,00ac,1,0,1,0,0,000000a4
7,7,0,00b0,1,0,1,0,0,000000a8
8,8,0,00b4,1,0,1,0,0,000000ac
9,9,0,0054,1,0,1,0,0,000000ac
10,10,0,0058,1,0,1,0,0,00000000
11,11,0,005c,1,0,1,0,0,00000054
12,12,0,0068,1,0,1,0,0,00000054
13,13,0,006c,1,0,1,0,0,00000000
14,14,0,0070,1,0,1,0,0,00000068
15,15,0,0070,1,0,1,0,0,00000068
16,16,0,0070,1,0,1,0,0,00000068
17,17,0,0074,1,0,1,0,0,0000006c
18,18,0,0078,1,0,1,0,0,00000070
19,19,0,007c,1,0,1,0,0,00000074
20,20,0,0080,1,0,1,0,0,00000078
21,21,0,0084,1,0,1,0,0,0000007c
22,22,0,0088,1,0,1,0,0,00000080
23,23,0,008c,1,0,1,0,0,00000084
24,24,0,0090,1,0,1,0,0,00000088
25,25,0,0090,1,0,1,0,0,00000088
26,26,0,0090,1,0,1,0,0,00000088
27,27,0,0094,1,0,1,0,0,0000008c
28,28,0,0094,1,0,1,0,0,0000008c
29,29,0,0098,1,0,1,0,0,00000090
30,30,0,009c,1,0,1,0,0,00000094
31,31,0,00a0,1,0,1,0,0,00000098
32,32,0,00a4,1,0,1,0,0,0000009c
33,33,0,00a8,1,0,1,0,0,000000a0
34,34,0,00ac,1,0,1,0,0,000000a4
35,35,0,00ac,1,0,1,0,0,000000a4
36,36,0,00ac,1,0,1,0,0,000000a4
37,37,0,00b0,1,0,1,0,0,000000a8
38,38,0,00b4,1,0,1,0,0,000000ac
39,39,0,0054,1,0,1,0,0,000000ac
40,40,0,0058,1,0,1,0,0,00000000
41,41,0,005c,1,0,1,0,0,00000054
42,42,0,0068,1,0,1,0,0,00000054
43,43,0,006c,1,0,1,0,0,00000000
44,44,0,0070,1,0,1,0,0,00000068
45,45,0,0070,1,0,1,0,0,00000068
46,46,0,0070,1,0,1,0,0,00000068
47,47,0,0074,1,0,1,0,0,0000006c
48,48,0,0078,1,0,1,0,0,00000070
49,49,0,007c,1,0,1,0,0,00000074
50,50,0,0080,1,0,1,0,0,00000078
51,51,0,0084,1,0,1,0,0,0000007c
52,52,0,0088,1,0,1,0,0,00000080
53,53,0,008c,1,0,1,0,0,00000084
54,54,0,0090,1,0,1,0,0,00000088
55,55,0,0090,1,0,1,0,0,00000088
56,56,0,0090,1,0,1,0,0,00000088
57,57,0,0094,1,0,1,0,0,0000008c
58,58,0,0094,1,0,1,0,0,0000008c
59,59,0,0098,1,0,1,0,0,00000090
60,60,0,009c,1,0,1,0,0,00000094
61,61,0,00a0,1,0,1,0,0,00000098
62,62,0,00a4,1,0,1,0,0,0000009c
63,63,0,00a8,1,0,1,0,0,000000a0
64,64,0,00ac,1,0,1,0,0,000000a4
65,65,0,00ac,1,0,1,0,0,000000a4
66,66,0,00ac,1,0,1,0,0,000000a4
67,67,0,00b0,1,0,1,0,0,000000a8
68,68,0,00b4,1,0,1,0,0,000000ac
69,69,0,0054,1,0,1,0,0,000000ac
70,70,0,0058,1,0,1,0,0,00000000
71,71,0,005c,1,0,1,0,0,00000054
72,72,0,0068,1,0,1,0,0,00000054
73,73,0,006c,1,0,1,0,0,00000000
74,74,0,0070,1,0,1,0,0,00000068
75,75,0,0070,1,0,1,0,0,00000068
76,76,0,0070,1,0,1,0,0,00000068
77,77,0,0074,1,0,1,0,0,0000006c
78,78,0,0078,1,0,1,0,0,00000070
79,79,0,007c,1,0,1,0,0,00000074
80,80,0,0080,1,0,1,0,0,00000078
81,81,0,0084,1,0,1,0,0,0000007c
82,82,0,0088,1,0,1,0,0,00000080
83,83,0,008c,1,0,1,0,0,00000084
84,84,0,0090,1,0,1,0,0,00000088
85,85,0,0090,1,0,1,0,0,00000088
86,86,0,0090,1,0,1,0,0,00000088
87,87,0,0094,1,0,1,0,0,0000008c
88,88,0,0094,1,0,1,0,0,0000008c
89,89,0,0098,1,0,1,0,0,00000090
90,90,0,009c,1,0,1,0,0,00000094
91,91,0,00a0,1,0,1,0,0,00000098
92,92,0,00a4,1,0,1,0,0,0000009c
93,93,0,00a8,1,0,1,0,0,000000a0
94,94,0,00ac,1,0,1,0,0,000000a4
95,95,0,00ac,1,0,1,0,0,000000a4
96,96,0,00ac,1,0,1,0,0,000000a4
97,97,0,00b0,1,0,1,0,0,000000a8
98,98,0,00b4,1,0,1,0,0,000000ac
99,99,0,0054,1,0,1,0,0,000000ac
100,100,0,0058,1,0,1,0,0,00000000
101,101,0,005c,1,0,1,0,0,00000054
102,102,0,0068,1,0,1,0,0,00000054
103,103,0,006c,1,0,1,0,0,00000000
104,104,0,0070,1,0,1,0,0,00000068
105,105,0,0070,1,0,1,0,0,00000068
106,106,0,0070,1,0,1,0,0,00000068
107,107,0,0074,1,0,1,0,0,0000006c
108,108,0,0078,1,0,1,0,0,00000070
109,109,0,007c,1,0,1,0,0,00000074
110,110,0,0080,1,0,1,0,0,00000078
111,111,0,0084,1,0,1,0,0,0000007c
112,112,0,0088,1,0,1,0,0,00000080
113,113,0,008c,1,0,1,0,0,00000084
114,114,0,0090,1,0,1,0,0,00000088
115,115,0,0090,1,0,1,0,0,00000088
116,116,0,0090,1,0,1,0,0,00000088
117,117,0,0094,1,0,1,0,0,0000008c
118,118,0,0094,1,0,1,0,0,0000008c
